Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-150.319,-41.031,1,0.823504,15,2.07715,1.5054,1.40732
A1,-146.915,-24.116,1,0.810615,23,2.85229,1.63324,1.45199
A1,-146.902,-44.863,0,0.823427,16,1.85007,1.01419,1.03112
A1,-149.209,-30.246,1,0.848059,9,2.46137,2.09644,1.84568
A1,-155.862,-36.691,1,0.866654,6,1.66876,1.38758,1.0295
A1,-152.814,-38.401,1,0.871729,8,2.29925,1.52173,1.41681
A1,-134.970,-34.919,1,0.82681,11,3.91595,3.83198,3.85708
A1,-162.596,-47.035,1,0.836927,18,1.55395,1.50729,1.37382
A1,-155.854,-49.276,1,0.857929,18,3.37841,0.978026,0.977472
A1,-140.906,-31.290,1,0.847273,7,2.39397,2.06296,1.5987
A1,-153.282,-33.867,0,0.840122,8,2.3207,2.03579,1.85444
A1,-155.733,-45.156,1,0.824769,8,2.31848,1.20021,1.22509
A1,-156.480,-46.705,1,0.845515,8,2.18928,0.817259,0.816109
A1,-155.036,-36.974,1,0.82104,17,1.51095,0.973681,0.893245
A1,-153.366,-44.815,1,0.844432,15,2.35792,1.40028,1.30795
A1,-158.037,-46.447,1,0.853709,14,2.04552,0.947902,0.942581
A1,-156.279,-45.310,1,0.84572,13,2.70651,0.993192,0.95632
A1,-157.190,-49.217,1,0.862014,9,1.87062,1.01343,1.03672
A1,-157.943,-40.294,1,0.836444,9,1.97622,1.31153,1.10127
A1,-153.049,-36.118,1,0.820481,10,1.85578,1.59449,1.39124
A1,-151.864,-21.725,1,0.899808,7,2.59568,1.89206,1.70584
A1,-161.148,-49.798,1,0.858281,7,2.36266,1.05505,1.10286
A1,-150.228,-34.553,0,0.864764,13,2.86694,2.63418,2.67036
A1,-145.067,-41.094,0,0.844741,13,2.0369,1.75863,1.67079
A1,-147.824,-39.978,1,0.878279,15,2.26053,1.49301,1.40074
A1,-156.202,-47.924,1,0.83624,11,1.7584,0.926209,0.888796
A1,-158.695,-32.067,0,0.849863,7,2.47722,1.88844,1.77891
A1,-147.219,-39.198,1,0.856868,9,2.33532,1.84823,1.84285
A1,-113.338,-20.594,1,0.869352,16,2.07232,0.890019,0.852963
